case,output,object,action_relation,scene,count_layout,best,notes
F113,B,partial,wrong,correct,wrong,A,浴室改两只马桶；浴缸和左水池缺失
F113,C,partial,partial,correct,wrong,A,卫生间单马桶保留但无浴缸蓝帘；俯视布局改变
F114,A,wrong,partial,correct,partial,all_wrong,俯视快递货车变街面公交；STOP路牌缺失
F114,B,wrong,partial,correct,partial,all_wrong,货车变迎面公交；高机位路口和停车标志消失
F114,C,wrong,wrong,wrong,wrong,all_wrong,快递卡车与路口变机场客机
F115,A,correct,partial,uncertain,partial,A,手持手机对应但单手持机变双手触屏近景；胸牌缺失且背景不足判场景
F116,A,uncertain,wrong,partial,wrong,all_wrong,模糊枝后棕色动物类别难辨；成鹅幼鸟队列和近景桌柱均缺失
F117,A,partial,wrong,wrong,partial,B,摩托车骑手变双板滑雪者；草垛赛道缺失
F117,B,correct,correct,partial,correct,B,红白摩托向右骑行对应；草垛观众变城市栏杆且车身型号不同
F117,C,correct,partial,partial,correct,B,红摩托及骑姿对应；头盔变帽子且赛道变街道
F118,A,correct,partial,partial,partial,A,室内侧身男子及另一人保留；后方坐姿变站姿且厨房背景缺失
F118,B,correct,wrong,partial,partial,A,男子面向前方持物变男女近距离看手中物；后方坐着的人缺失
F118,C,correct,wrong,partial,partial,A,人物站立变女性替男子整理领带；原持物关系和厨房缺失
F119,A,correct,partial,correct,partial,B,小转角厨房对应；炉灶水池左右互换且浅柜变木柜
F119,B,correct,correct,correct,partial,B,左灶右池转角关系接近；柜色变化并增加右窗
F119,C,correct,partial,correct,partial,B,白柜炉灶水池对应；转角布局变直线并增加左冰箱绿墙
F120,A,wrong,wrong,wrong,wrong,all_wrong,蒸汽机车正面变机场飞机侧面
F120,B,wrong,wrong,wrong,wrong,all_wrong,火车与铁轨变停机坪多架飞机
F120,C,wrong,wrong,wrong,wrong,all_wrong,老式蒸汽机车变喷气飞机；轨道前景缺失
F121,A,wrong,wrong,wrong,wrong,all_wrong,蓝墙厨房岛台变浴缸马桶洗手柜
F121,B,partial,wrong,wrong,wrong,all_wrong,厨房炉灶和岛台缺失；窗下双池柜旁多出马桶
F121,C,wrong,wrong,wrong,wrong,all_wrong,转角厨房变狭小卫生间；抽油烟机灶台缺失
F122,A,partial,partial,wrong,partial,all_wrong,栏杆滑板变雪坡单板转弯；轮子和金属栏杆缺失
F122,B,partial,partial,wrong,partial,all_wrong,滑板沿杆变雪地跃板；硬地设施与树旁栏杆消失
F122,C,partial,partial,wrong,partial,all_wrong,滑板杆上平衡变高空单板抓板；场地变雪场
F123,A,correct,partial,partial,partial,A,三人室内吃东西保留；各自持香蕉变一人喂另一人且水果不明
F123,B,correct,partial,partial,partial,A,室内进食互动保留；三人变两人且香蕉变红色弯曲食物
F123,C,partial,wrong,partial,partial,A,吃香蕉交谈变一人持小设备靠嘴与旁人观看；第三人缺失
F124,A,correct,partial,correct,partial,B,海中人与板保留；大浪上站滑变低伏小浪且增加左侧人
F124,B,correct,partial,correct,partial,B,单人海上站板对应；高卷浪变平缓小浪且主体变小
F125,A,wrong,wrong,wrong,partial,B,花田前列车变水边机场飞机
F125,B,correct,correct,partial,partial,B,列车横向行进对应；黄色花田和风机缺失且车头朝向反转
F126,A,partial,wrong,partial,partial,B,抛球持拍发球变空手张臂；网球球拍缺失
F126,B,correct,partial,correct,partial,B,人物举拍对应；向上发球变向前挥拍且球不明显
F126,C,partial,partial,correct,partial,B,网球在空中但球拍未形成；举臂发球变胸前双臂动作
F127,A,partial,wrong,partial,partial,all_wrong,马桶内塑料瓶变闭合盖面文字；水和瓶子缺失
F127,B,uncertain,wrong,uncertain,partial,all_wrong,圆形开口内物体形态无法确定；不见原塑料瓶及瓷砖马桶环境
F128,A,wrong,wrong,partial,wrong,all_wrong,桥上大象长队变水边观光车；大象及车辆队列缺失
F128,B,wrong,wrong,partial,wrong,all_wrong,河边大象游行变海边游乐车辆和船
F129,A,correct,correct,correct,partial,A,海面多只牵引风筝对应；近处冲浪者变很小且浪变平
F129,B,partial,partial,partial,wrong,A,海上风筝保留两只；前景增加岸上羊群且冲浪者缺失
F129,C,partial,partial,partial,wrong,A,远处海上风筝保留；岸边牛羊占主要前景且冲浪者缺失
F130,A,wrong,partial,partial,partial,all_wrong,两斑马横穿土路变单个模糊小动物过柏油路
F130,B,wrong,partial,partial,wrong,all_wrong,两匹斑马变多只羊；干土路变灰色道路与绿草坡
F130,C,wrong,partial,wrong,wrong,all_wrong,斑马过土路变雪道黑羊状动物；远处增加人群
F131,A,partial,partial,partial,wrong,A,餐桌多盘食物仍有面包杯碗；丰盛共享餐变少量食物且人物缺失
F131,B,wrong,wrong,wrong,wrong,A,多人早餐桌变三箱整齐水果
F131,C,partial,wrong,wrong,wrong,A,餐盘共享餐变售卖糕点香蕉陈列架
F132,A,correct,partial,correct,partial,A,棒球场两球员及看台对应；捕手击球手对位变两人并立且多前景人物
F132,B,partial,wrong,partial,wrong,A,捕手击球手变场边站立人群；本垒关系缺失
F132,C,partial,wrong,correct,partial,A,球场球员与观众保留；捕手变蹲地摄影者且击球关系缺失
F133,A,partial,partial,wrong,partial,all_wrong,手持烤香肠长面包变圆贝果；香肠纸垫和户外地面缺失
F133,B,partial,partial,wrong,partial,all_wrong,热狗变掰开的圆形葡萄干面包；香肠缺失
F133,C,partial,partial,wrong,partial,all_wrong,香肠长面包变涂奶油圆贝果；户外纸垫变室内盘
F134,A,correct,correct,wrong,partial,B,多风筝天空保留；绿草地变雪地且大章鱼形风筝缺失
F134,B,correct,correct,partial,partial,B,多人草地放风筝对应；宽阔绿场变干草山坡且风筝形态不同
F135,A,wrong,partial,partial,wrong,all_wrong,树旁斑马群变三只象牛混合状动物；草地增加水塘
F135,B,wrong,partial,partial,wrong,all_wrong,斑马群变数头牛；俯视聚集布局变近侧面
F135,C,wrong,partial,partial,partial,all_wrong,斑马群变象群；绿色草坡变黄色旱草
F136,A,correct,correct,correct,partial,C,红衣举拍发球对应；棕榈建筑变观众草场且主体更大
F136,B,correct,correct,correct,partial,C,跳起挥拍对应；红衣变白衣且增加近场其他球员
F136,C,correct,correct,correct,correct,C,红衣腾空举拍与低处球对应；棕榈建筑背景改变
F137,A,partial,partial,partial,partial,all_wrong,交通灯保留但夜间红手灯与ONE WAY牌缺失；变白天侧面信号灯
F137,B,partial,wrong,partial,partial,all_wrong,行人红手信号和单行牌变黑色STOP大牌；夜色消失
F138,A,partial,wrong,partial,wrong,all_wrong,田野中央STOP牌缺失；变道路纵深与远处细杆
F138,B,wrong,wrong,wrong,wrong,all_wrong,田野停车牌变海岸水面与远处风筝
F139,A,partial,wrong,partial,wrong,all_wrong,镜中多人吃饭变沙发人物看电视；餐盘餐桌镜面框缺失
F139,B,partial,wrong,partial,wrong,all_wrong,餐桌多人用餐变电脑桌与侧边单人；反射关系缺失
F140,A,partial,wrong,partial,wrong,all_wrong,训鹰者托飞鸟变多人玩黄色长条玩具；猛禽缺失
F140,B,partial,wrong,partial,wrong,all_wrong,手套托鸟变街边人物头顶绿盘并持玩具；木栏植被缺失
F140,C,partial,wrong,partial,wrong,all_wrong,鹰飞离手套变两人玩球；主鸟完全缺失
F141,A,partial,correct,correct,partial,B,公交车保留但双层绿车变单层红车；朝向反转
F141,B,correct,correct,partial,correct,B,双层公交近景对应；绿色变黄色并增加后方蓝车
F141,C,partial,correct,correct,partial,B,双层绿车变紫白单层公交；停车场背景变楼房道路
F142,A,correct,partial,partial,partial,A,人物手持圆面包保留；男子咬食变女子双手展示且键盘缺失
F142,B,correct,partial,wrong,partial,A,手持咬过面包对应；男子正在咬变女子侧看且办公室变室外
F143,A,wrong,partial,partial,partial,all_wrong,木椅下狗脸变白框旁猫脸；格纹坐垫缺失
F143,B,wrong,partial,partial,partial,all_wrong,椅内狗变灰猫窗框近景；木椅与绿格布消失
F143,C,wrong,partial,partial,partial,all_wrong,椅下狗变白框后橘猫；原头部近景布局减弱
F144,A,wrong,wrong,partial,partial,all_wrong,后视镜中狗脸变窗边黑白猫；镜面反射关系缺失
F144,B,wrong,partial,correct,partial,all_wrong,车内狗脸变黑白猫；横向后视镜构图变侧窗框
F144,C,wrong,wrong,wrong,wrong,all_wrong,后视镜狗脸变窗前背向猫；脸部反射与车内场景消失
F145,A,correct,correct,correct,correct,A,双人床左窗床头灯对应；红白床品变绿色且顶幔缺失
F145,B,wrong,wrong,wrong,wrong,A,带顶幔卧床变洗手台镜柜
F146,A,correct,partial,correct,partial,B,披萨保留；长方半边分料变圆形放射铺料且托盘变盘
F146,B,correct,correct,correct,partial,B,两半不同配料的披萨关系对应；长方形变圆形且配料不同
F146,C,wrong,wrong,partial,partial,B,长方披萨变蓝盘上两半夹肉面包
F147,A,partial,wrong,partial,partial,all_wrong,棒球制服持棒姿态变运动装持小物靠嘴；球棒缺失
F147,B,partial,wrong,partial,partial,all_wrong,挥棒准备变持球拍垂手站立；球服帽子和球棒缺失
F147,C,partial,wrong,partial,partial,all_wrong,棒球持棒者变室内持游戏器具人物；陈列栏杆和旗帜缺失
F148,A,partial,partial,correct,partial,B,街上公交保留但变双层并多出白货车；原车侧面与站楼缺失
F148,B,correct,correct,correct,correct,B,单层公交横向侧面对应；车色广告变化且上方地铁建筑缺失
F148,C,correct,correct,correct,partial,B,城市公交对应；侧面车身变斜前视无轨电车且雨雪路面消失
F149,A,wrong,wrong,partial,wrong,all_wrong,咖啡牛角包与书变台面电脑电话；食品缺失
F149,B,partial,wrong,partial,wrong,all_wrong,牛角包咖啡变方形蛋糕香蕉与电饭煲；书本窗边关系缺失
F149,C,partial,wrong,partial,partial,all_wrong,杯子仍在但牛角包和书变香蕉笔记本；咖啡馆窗边变厨房
F150,A,wrong,wrong,correct,partial,B,厨房披萨变烤盘上整齐番茄状蔬果
F150,B,correct,correct,correct,partial,B,蔬菜披萨对应；纸板上单张俯视变金属盘低角度近景
F150,C,wrong,wrong,correct,wrong,B,披萨变两碗青色水果；圆饼及纸板缺失
F151,A,correct,partial,partial,partial,A,猫坐姿保留；白身花猫变虎斑白胸且软垫变电脑桌
F151,B,correct,partial,wrong,partial,A,猫变深色卧姿在户外桌面；粉垫及靠枕缺失
F152,A,correct,correct,correct,correct,A,窗台坐猫对应；黑白猫变深灰猫且外看窗内变室内近景
F152,B,correct,partial,wrong,partial,A,窗台坐猫变床上黑猫；窗框百叶缺失
F152,C,correct,partial,partial,partial,A,框内猫保留但像挂画或屏幕；窗台坐姿及百叶不见
F153,A,partial,wrong,partial,partial,all_wrong,刷牙男子变拿黑色设备并舔白物；牙刷横向刷牙关系缺失
F153,B,correct,wrong,partial,partial,all_wrong,手中细杆似牙刷但远离嘴；刷牙变伸臂微笑动作
F154,A,wrong,partial,wrong,partial,all_wrong,雾中羊变两只象状动物相对站立；雾气与羊毛缺失
F154,B,partial,partial,partial,wrong,all_wrong,羊状群体保留部分但形态混合；近处少量羊变满坡多只且无雾
F154,C,wrong,partial,wrong,wrong,all_wrong,雾中羊群变晴天密集牛群
F155,A,correct,correct,partial,wrong,A,长颈鹿站立对应；一只变两只且石墙变铁栏草地
F155,B,correct,partial,partial,wrong,A,单鹿全身变两只头颈近景；石墙与腿部缺失
F155,C,correct,partial,partial,wrong,A,单只长颈鹿变两只颈部交叠；石墙地面变草坪
F156,A,correct,partial,partial,partial,A,两人备食互动保留；前景弯腰切食物变直立操作甜点且木墙缺失
F156,B,partial,partial,partial,wrong,A,多人厨房操作变单人站锅旁；观察者与弯腰动作缺失
F156,C,partial,partial,partial,partial,A,厨房切食物动作相近；多人变单人主导且原木屋和观察关系消失
F157,A,correct,wrong,partial,wrong,B;C,两鹿交颈变单鹿低头；互动对象缺失
F157,B,correct,partial,partial,correct,B;C,两长颈鹿并立对应；颈部接触扭转变平行朝右
F157,C,correct,partial,partial,partial,B;C,两鹿头颈靠近保留；其中一只体型缩小且头部截断
F158,A,partial,partial,correct,partial,B,浴室马桶保留；左水池及双窗缺失且灰墙变淋浴隔板
F158,B,correct,partial,correct,partial,B,左水池右马桶及窗对应；增加右浴缸且双窗变单窗
F158,C,partial,partial,correct,partial,B,浴室窗和马桶保留；水池缺失且马桶移左并新增右浴缸
F159,A,partial,wrong,wrong,partial,all_wrong,雪场地图前持杖人物变室内书架旁坐着的人
F160,A,wrong,wrong,partial,wrong,all_wrong,粥饼水果早餐变西兰花和橙色瓶状物；多盘共享布局缺失
F160,B,partial,wrong,partial,wrong,all_wrong,中式粥饼早餐变纸盒热狗薯块；粥碗筷子缺失
F160,C,partial,wrong,partial,wrong,all_wrong,多盘粥饼变单份夹肉面包和牛奶；水果盘与筷子消失
